,batting_position,Batter,Dismissal,Runs,Balls,Minutes,4s,6s,SR,Country
563,8,Tim Southee,not out ,1,2,7,0,0,50.00,New Zealand
564,1,Paul Stirling, b Sodhi,37,27,39,3,1,137.03,Ireland
565,2,Andy Balbirnie(c), b Santner,30,25,36,0,3,120.00,Ireland
566,3,Lorcan Tucker(WK),c Allen b Sodhi,13,14,30,0,0,92.85,Ireland
567,4,Harry Tector,c Southee b Santner,2,7,4,0,0,28.57,Ireland
568,5,Gareth Delany,c (WK)Conway b Ferguson,10,8,12,2,0,125.00,Ireland
569,6,George Dockrell,c Williamson b Ferguson,23,15,24,3,0,153.33,Ireland
570,7,Curtis Campher,c Allen b Southee,7,7,10,1,0,100.00,Ireland
571,8,Fionn Hand,c & b Ferguson,5,3,7,1,0,166.66,Ireland
572,9,Mark Adair,c Phillips b Southee,4,5,9,0,0,80.00,Ireland
573,10,Barry McCarthy,not out ,6,5,10,0,0,120.00,Ireland
574,11,Josh Little,not out ,8,4,3,0,1,200.00,Ireland
575,1,David Warner, b Naveen-ul-Haq,25,18,28,5,0,138.88,Australia
576,2,Cameron Green,c Gulbadin Naib b Fazalhaq Farooqi,3,2,12,0,0,150.00,Australia
577,3,Mitchell Marsh,c (WK)Rahmanullah Gurbaz b Mujeeb Ur Rahman,45,30,42,3,2,150.00,Australia
578,4,Steven Smith,lbw b Naveen-ul-Haq,4,4,6,1,0,100.00,Australia
579,5,Marcus Stoinis,c Usman Ghani b Rashid Khan,25,21,41,0,2,119.04,Australia
580,6,Glenn Maxwell,not out ,54,32,46,6,2,168.75,Australia
581,7,Matthew Wade(c)(WK), b Fazalhaq Farooqi,6,8,14,1,0,75.00,Australia
582,8,Pat Cummins,c Rashid Khan b Naveen-ul-Haq,0,2,4,0,0,0.00,Australia
583,9,Kane Richardson,run out (Naveen-ul-Haq),1,1,6,0,0,100.00,Australia
584,10,Adam Zampa,not out ,1,1,5,0,0,100.00,Australia
585,1,Rahmanullah Gurbaz(WK),c Warner b Richardson,30,17,31,2,2,176.47,Afghanistan
586,2,Usman Ghani,c Cummins b Hazlewood,2,7,16,0,0,28.57,Afghanistan
587,3,Ibrahim Zadran,c Marsh b Zampa,26,33,55,2,0,78.78,Afghanistan
588,4,Gulbadin Naib,run out (Maxwell),39,23,38,3,2,169.56,Afghanistan
